filename,angle_initial,angle_final,delta_angle
90º-w=0.6-α=0.5-seg01.MOV,-67.3287,28.3573,95.686
90º-w=0.6-α=0.5-seg02.MOV,28.4368,124.7476,96.3108
90º-w=0.6-α=0.5-seg03.MOV,124.7476,-137.6929,97.5595
90º-w=0.6-α=0.5-seg04.MOV,-138.4078,-43.8212,94.5866
90º-w=0.6-α=0.5-seg05.MOV,-43.5797,52.3297,95.9095
90º-w=0.6-α=0.5-seg06.MOV,52.462,148.9229,96.4609
90º-w=0.6-α=0.5-seg07.MOV,148.3487,-116.2686,95.3827
90º-w=0.6-α=0.5-seg08.MOV,-116.417,-21.1212,95.2958
90º-w=0.6-α=0.5-seg08.MOV,74.47,171.38,96.912
90º-w=0.6-α=0.5-seg10.MOV,170.9493,-92.9953,96.0554
90º-w=0.6-α=0.5-seg11.MOV,-92.9953,4.1687,97.164
