tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,direccion,angulo_odom
RUN,1773854837.3848178,1773854841.8555868,0.5,1.0,90,CW,90.333
RUN,1773854846.8681521,1773854851.338995,0.5,1.0,90,CW,90.142
RUN,1773854856.340876,1773854860.6149457,0.5,2.0,90,CCW,91.001
RUN,1773854865.6217453,1773854869.875568,0.5,2.0,90,CCW,90.954
RUN,1773854874.8838954,1773854879.1030889,0.5,2.0,90,CCW,90.137
RUN,1773854884.1155941,1773854888.401326,0.5,2.0,90,CCW,90.487
RUN,1773854893.4054334,1773854897.6593263,0.5,2.0,90,CCW,90.417
RUN,1773854902.6695044,1773854906.8616436,0.5,2.0,90,CW,90.701
RUN,1773854911.8698063,1773854916.0975158,0.5,2.0,90,CW,91.371
RUN,1773854921.1000264,1773854925.2828095,0.5,2.0,90,CW,90.785
RUN,1773854930.29012,1773854934.4924188,0.5,2.0,90,CW,90.702
RUN,1773854939.4968674,1773854943.711133,0.5,2.0,90,CW,90.429
RUN,1773854948.719382,1773854953.7787035,0.6,0.5,90,CCW,90.252
RUN,1773854958.786182,1773854963.7597346,0.6,0.5,90,CCW,89.911
RUN,1773854968.765949,1773854974.379388,0.6,0.5,90,CCW,89.909
RUN,1773854979.3877523,1773854984.3996189,0.6,0.5,90,CCW,90.012
RUN,1773854989.4075437,1773854994.2609873,0.6,0.5,90,CCW,89.953
RUN,1773854999.268648,1773855004.1996057,0.6,0.5,90,CW,89.971
RUN,1773855009.2054698,1773855014.7604327,0.6,0.5,90,CW,89.964
RUN,1773855019.766362,1773855024.645516,0.6,0.5,90,CW,89.918
RUN,1773855029.650376,1773855034.5746942,0.6,0.5,90,CW,89.934
RUN,1773855039.5767405,1773855044.5625684,0.6,0.5,90,CW,90.089
RUN,1773855049.5702863,1773855053.4830747,0.6,1.0,90,CCW,90.248
RUN,1773855058.4911027,1773855062.383569,0.6,1.0,90,CCW,90.115
RUN,1773855067.39513,1773855071.2768703,0.6,1.0,90,CCW,90.195
RUN,1773855076.2879376,1773855080.2344565,0.6,1.0,90,CCW,90.404
RUN,1773855085.2422135,1773855089.2028956,0.6,1.0,90,CCW,90.326
RUN,1773855094.208822,1773855098.1227818,0.6,1.0,90,CW,90.293
RUN,1773855103.1270242,1773855107.041472,0.6,1.0,90,CW,90.334
RUN,1773855112.0453432,1773855115.9170716,0.6,1.0,90,CW,90.146
RUN,1773855120.9210024,1773855124.844502,0.6,1.0,90,CW,90.425
RUN,1773855129.8534684,1773855133.7351048,0.6,1.0,90,CW,90.053
RUN,1773855138.740862,1773855142.3227956,0.6,2.0,90,CCW,91.004
RUN,1773855147.3295076,1773855150.9109395,0.6,2.0,90,CCW,90.669
RUN,1773855155.91719,1773855159.4965556,0.6,2.0,90,CCW,90.054
RUN,1773855164.5049214,1773855168.0783737,0.6,2.0,90,CCW,90.436
RUN,1773855173.0843153,1773855176.6966603,0.6,2.0,90,CCW,90.346
RUN,1773855181.7033737,1773855185.2552333,0.6,2.0,90,CW,90.039
RUN,1773855190.263632,1773855193.837917,0.6,2.0,90,CW,90.816
RUN,1773855198.8443964,1773855202.3761873,0.6,2.0,90,CW,89.979
RUN,1773855207.3813374,1773855210.9370553,0.6,2.0,90,CW,90.911
RUN,1773855215.940914,1773855219.5150392,0.6,2.0,90,CW,89.989
RUN,1773855224.5233936,1773855229.3817499,0.8,0.5,90,CCW,89.919
RUN,1773855234.3881738,1773855239.1941018,0.8,0.5,90,CCW,90.068
RUN,1773855244.2008111,1773855249.786284,0.8,0.5,90,CCW,89.959
RUN,1773855254.7892663,1773855259.6595025,0.8,0.5,90,CCW,90.139
RUN,1773855264.666012,1773855270.2180374,0.8,0.5,90,CCW,90.006
