tipo,t_inicio,t_fin,vel_max,acel,angulo_objetivo,angulo_odom
SYNC_START,1773688693.1281073,1773688693.1281073,,,,
RUN,1773688696.7436638,1773688709.994844,0.6,0.5,360,359.952
RUN,1773688715.0070643,1773688728.3140233,0.6,0.5,360,359.991
RUN,1773688733.3241394,1773688747.0771565,0.6,0.5,360,359.945
RUN,1773688752.0824032,1773688761.962688,1.0,0.5,360,359.923
RUN,1773688766.971803,1773688776.97648,1.0,0.5,360,360.007
RUN,1773688781.987367,1773688791.9003043,1.0,0.5,360,359.994
SYNC_END,1773688793.9093413,1773688793.9093413,,,,
