filename,angle_initial,angle_final,delta_angle
360º-w=0.6-α=0.5-seg01.MOV,-0.8882,9.3891,10.2774
360º-w=0.6-α=0.5-seg02.MOV,8.9495,18.9967,10.0472
360º-w=0.6-α=0.5-seg03.MOV,18.8532,28.3612,9.508
360º-w=0.6-α=0.5-seg04.MOV,29.3578,38.0317,8.674
360º-w=0.6-α=0.5-seg05.MOV,38.1076,49.3987,11.2911
360º-w=0.6-α=0.5-seg06.MOV,49.5739,58.3713,8.7974
360º-w=0.6-α=0.5-seg07.MOV,58.1842,68.1616,9.9774
360º-w=0.6-α=0.5-seg08.MOV,67.9769,77.9885,10.0116
360º-w=0.6-α=0.5-seg09.MOV,77.8361,88.6173,10.7811
360º-w=0.6-α=0.5-seg10.MOV,88.4144,98.3257,9.9113
360º-w=0.6-α=0.5-seg11.MOV,99.985,109.3741,9.3892
