filename,angle_initial,angle_final,delta_angle
180º-w=0.6-α=0.5-seg01.MOV,-91.6555,94.861,-173.4835
180º-w=0.6-α=0.5-seg02.MOV,94.8188,-77.2179,-172.0367
180º-w=0.6-α=0.5-seg03.MOV,-77.7924,109.7989,-172.4087
180º-w=0.6-α=0.5-seg04.MOV,109.8984,-62.3892,-172.2876
180º-w=0.6-α=0.5-seg05.MOV,-62.9181,123.3186,-173.7633
180º-w=0.6-α=0.5-seg06.MOV,123.3697,-49.852,-173.2217
180º-w=0.6-α=0.5-seg07.MOV,-50.1521,138.0749,-171.773
180º-w=0.6-α=0.5-seg08.MOV,138.3665,-34.992,-173.3585
180º-w=0.6-α=0.5-seg09.MOV,-34.9374,151.5331,-173.5295
180º-w=0.6-α=0.5-seg10.MOV,151.455,-22.1434,-173.5983
180º-w=0.6-α=0.5-seg11.MOV,-22.1434,166.402,-171.4546
